Algorithm,Map,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
Without Diversity,obstacle,9,10,1.0,0.0,0.89,12.0,3.0,0.0,0.0037169223154816648
Without Diversity,random_small,0,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004003935554234583
Without Diversity,random_small,1,10,1.0,0.0,0.9219999999999999,8.8,0.8,0.0,0.003999454475108776
Without Diversity,random_small,2,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.004038406443675436
Without Diversity,random_small,3,10,1.0,0.0,0.916,9.4,1.4,0.0,0.004682588770192524
Without Diversity,random_small,4,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004181553403905127
Without Diversity,random_small,5,10,1.0,0.0,0.9239999999999998,8.6,0.6,0.0,0.003996853152566473
Without Diversity,random_small,6,10,1.0,0.0,0.9279999999999999,8.2,0.2,0.0,0.004017878372615087
Without Diversity,random_small,7,10,1.0,0.0,0.916,9.4,1.4,0.0,0.004343096525899455
Without Diversity,random_small,8,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.003980262065324496
Without Diversity,random_small,9,10,1.0,0.0,0.9239999999999998,8.6,0.6,0.0,0.003983013241595472
Without Loop Penalty,deceptive,0,10,0.5,0.0,-0.055000000000000104,31.5,0.0,0.2149859943977591,0.003791068366645889
Without Loop Penalty,deceptive,1,10,0.6,0.0,0.12199999999999991,28.8,1.6666666666666667,0.12106092436974789,0.0037508191609313376
Without Loop Penalty,deceptive,2,10,0.4,0.0,-0.25400000000000017,36.4,3.0,0.20873949579831935,0.0038311967984584693
Without Loop Penalty,deceptive,3,10,0.6,0.0,0.12599999999999992,28.4,1.0,0.14283963585434173,0.003975829638855663
Without Loop Penalty,deceptive,4,10,0.0,0.0,-0.9900000000000002,50.0,,0.3666666666666667,0.0038303447496145964
Without Loop Penalty,deceptive,5,10,0.5,0.0,-0.055000000000000104,31.5,0.0,0.2149859943977591,0.003782180497228043
Without Loop Penalty,deceptive,6,10,0.6,0.0,0.12399999999999992,28.6,1.3333333333333333,0.13544584500466852,0.0037865513477640467
Without Loop Penalty,deceptive,7,10,0.6,0.0,0.1079999999999999,30.2,4.0,0.15927108022696257,0.003898643279645777
Without Loop Penalty,deceptive,8,10,0.6,0.0,0.12999999999999992,28.0,0.3333333333333333,0.13177521008403362,0.0037581173818288316
Without Loop Penalty,deceptive,9,10,0.5,0.0,-0.06300000000000011,32.3,1.6,0.20846171802054156,0.0037294075040116064
Without Loop Penalty,easy,0,10,1.0,0.0,0.944,6.6,1.6,0.0,0.004304753766724995
Without Loop Penalty,easy,1,10,1.0,0.0,0.952,5.8,0.8,0.0,0.004017043212121019
Without Loop Penalty,easy,2,10,1.0,0.0,0.9499999999999998,6.0,1.0,0.0,0.00392495485962302
Without Loop Penalty,easy,3,10,1.0,0.0,0.9479999999999998,6.2,1.2,0.0,0.004008187023792778
Without Loop Penalty,easy,4,10,1.0,0.0,0.9479999999999998,6.2,1.2,0.0,0.004158511502549999
Without Loop Penalty,easy,5,10,1.0,0.0,0.9400000000000001,7.0,2.0,0.0,0.004073025168130184
Without Loop Penalty,easy,6,10,1.0,0.0,0.9359999999999999,7.4,2.4,0.0,0.003973550797288671
Without Loop Penalty,easy,7,10,1.0,0.0,0.938,7.2,2.2,0.0,0.004037303942743512
Without Loop Penalty,easy,8,10,1.0,0.0,0.9339999999999999,7.6,2.6,0.0,0.004023050241311769
Without Loop Penalty,easy,9,10,1.0,0.0,0.9419999999999998,6.8,1.8,0.0,0.003932721619658121
Without Loop Penalty,obstacle,0,10,1.0,0.0,0.8939999999999999,11.6,2.6,0.0,0.0037787246517318263
Without Loop Penalty,obstacle,1,10,1.0,0.0,0.9040000000000001,10.6,1.6,0.0,0.003824924451002592
Without Loop Penalty,obstacle,2,10,1.0,0.0,0.8880000000000001,12.2,3.2,0.0,0.0037592804445267837
Without Loop Penalty,obstacle,3,10,1.0,0.0,0.8800000000000001,13.0,4.0,0.0,0.0038576744138301756
Without Loop Penalty,obstacle,4,10,1.0,0.0,0.8699999999999999,14.0,5.0,0.0,0.003789744420365646
Without Loop Penalty,obstacle,5,10,0.9,0.0,0.667,19.3,6.888888888888889,0.15101190476190476,0.003812329992285917
Without Loop Penalty,obstacle,6,10,1.0,0.0,0.8779999999999999,13.2,4.2,0.0,0.0037826588200978476
Without Loop Penalty,obstacle,7,10,1.0,0.0,0.8940000000000001,11.6,2.6,0.0,0.0037830495081097324
Without Loop Penalty,obstacle,8,10,1.0,0.0,0.8720000000000001,13.8,4.8,0.0,0.003781704443726779
Without Loop Penalty,obstacle,9,10,1.0,0.0,0.876,13.4,4.4,0.0,0.003750341515830203
Without Loop Penalty,random_small,0,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.004064155684451786
Without Loop Penalty,random_small,1,10,1.0,0.0,0.9279999999999999,8.2,0.2,0.0,0.00403562048497406
Without Loop Penalty,random_small,2,10,1.0,0.0,0.9219999999999999,8.8,0.8,0.0,0.004044179076045111
Without Loop Penalty,random_small,3,10,1.0,0.0,0.9219999999999999,8.8,0.8,0.0,0.004651363334560301
Without Loop Penalty,random_small,4,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.003981315027213852
Without Loop Penalty,random_small,5,10,1.0,0.0,0.9259999999999999,8.4,0.4,0.0,0.004036610527000448
Without Loop Penalty,random_small,6,10,1.0,0.0,0.9279999999999999,8.2,0.2,0.0,0.004167218129477988
Without Loop Penalty,random_small,7,10,1.0,0.0,0.9239999999999998,8.6,0.6,0.0,0.004293566597916651
Without Loop Penalty,random_small,8,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004020978157059289
Without Loop Penalty,random_small,9,10,1.0,0.0,0.9279999999999999,8.2,0.2,0.0,0.004012574232365296
Without Tail Memory,deceptive,0,10,0.6,0.0,0.07999999999999988,33.0,8.666666666666666,0.43961172985940794,0.0038134030018234814
Without Tail Memory,deceptive,1,10,0.6,0.0,0.1119999999999999,29.8,3.3333333333333335,0.41938025210084034,0.0037775649556567913
Without Tail Memory,deceptive,2,10,0.7,0.0,0.27699999999999986,28.3,6.0,0.3341769015298427,0.00376973277930171
Without Tail Memory,deceptive,3,10,0.7,0.0,0.23299999999999982,32.7,12.285714285714286,0.4474008671067494,0.003946893356154477
Without Tail Memory,deceptive,4,10,0.6,0.0,0.11799999999999991,29.2,2.3333333333333335,0.4202906162464986,0.003770997414090044
Without Tail Memory,deceptive,5,10,0.6,0.0,0.13199999999999992,27.8,0.0,0.6831932773109244,0.0037801433612095516
Without Tail Memory,deceptive,6,10,0.7,0.0,0.23499999999999993,32.5,12.0,0.5564717553688142,0.0037844855529087355
Without Tail Memory,deceptive,7,10,0.7,0.0,0.23699999999999988,32.3,11.714285714285714,0.4097619047619048,0.0037789485027962507
Without Tail Memory,deceptive,8,10,0.7,0.0,0.2989999999999999,26.1,2.857142857142857,0.2987896825396826,0.003764687267362564
Without Tail Memory,deceptive,9,10,0.7,0.0,0.21899999999999986,34.1,14.285714285714286,0.4743732492997199,0.003764116785751367
Without Tail Memory,easy,0,10,1.0,0.0,0.944,6.6,1.6,0.0,0.004036531307529437
Without Tail Memory,easy,1,10,1.0,0.0,0.95,6.0,1.0,0.0,0.004013312119350304
Without Tail Memory,easy,2,10,1.0,0.0,0.944,6.6,1.6,0.0,0.0039617794688949284
Without Tail Memory,easy,3,10,1.0,0.0,0.9380000000000001,7.2,2.2,0.0,0.0040227012136365824
Without Tail Memory,easy,4,10,1.0,0.0,0.9259999999999999,8.4,3.4,0.0,0.0041272354990046015
Without Tail Memory,easy,5,10,1.0,0.0,0.9380000000000001,7.2,2.2,0.0,0.004301535503179251
Without Tail Memory,easy,6,10,1.0,0.0,0.9399999999999998,7.0,2.0,0.0,0.004003929732224019
Without Tail Memory,easy,7,10,1.0,0.0,0.9299999999999999,8.0,3.0,0.0,0.004034732200185504
Without Tail Memory,easy,8,10,1.0,0.0,0.938,7.2,2.2,0.0,0.004058976185006164
Without Tail Memory,easy,9,10,1.0,0.0,0.9479999999999998,6.2,1.2,0.0,0.003960064211185829
Without Tail Memory,obstacle,0,10,1.0,0.0,0.892,11.8,2.8,0.0,0.0037766401023474833
Without Tail Memory,obstacle,1,10,1.0,0.0,0.9020000000000001,10.8,1.8,0.0,0.0037792367979993776
Without Tail Memory,obstacle,2,10,1.0,0.0,0.8880000000000001,12.2,3.2,0.0,0.003764313565426271
Without Tail Memory,obstacle,3,10,1.0,0.0,0.8800000000000001,13.0,4.0,0.0,0.0037910058116106884
Without Tail Memory,obstacle,4,10,1.0,0.0,0.8699999999999999,14.0,5.0,0.0,0.003828117892581201
Without Tail Memory,obstacle,5,10,0.8,0.0,0.53,18.0,1.0,0.39795518207282915,0.0038717161038258974
Without Tail Memory,obstacle,6,10,1.0,0.0,0.8779999999999999,13.2,4.2,0.0,0.0038271443811069795
Without Tail Memory,obstacle,7,10,1.0,0.0,0.8940000000000001,11.6,2.6,0.0,0.003804611586102003
Without Tail Memory,obstacle,8,10,1.0,0.0,0.8620000000000001,14.8,5.8,0.0,0.003773524641750616
Without Tail Memory,obstacle,9,10,1.0,0.0,0.874,13.6,4.6,0.0,0.0037429189050673718
