success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Seed,Task
1,0.94,7,0,0.0,0.0,1.1914276650973729e-07,Value Iteration,0,task_03
1,0.94,7,0,0.0,0.0,9.528801976037877e-08,Value Iteration,0,task_03
1,0.94,7,0,0.0,0.0,1.4314303241137948e-07,Policy Iteration,0,task_03
1,0.94,7,0,0.0,0.0,1.488577774060624e-07,Policy Iteration,0,task_03
1,0.94,7,0,0.0,0.0,1.1900140504751886e-07,Policy Iteration,0,task_03
1,0.94,7,0,0.0,0.0,1.0713951529136726e-07,Policy Iteration,0,task_03
1,0.94,7,0,0.0,0.0,1.0128756652453116e-07,Policy Iteration,0,task_03
1,0.94,7,0,0.0,0.0,1.0178565779434784e-06,Q-learning,0,task_03
1,0.94,7,0,0.0,0.0,8.392900261761887e-07,Q-learning,0,task_03
1,0.94,7,0,0.0,0.0,7.915701384523086e-07,Q-learning,0,task_03
1,0.94,7,0,0.0,0.0,7.798579255385058e-07,Q-learning,0,task_03
1,0.94,7,0,0.0,0.0,8.09572936434831e-07,Q-learning,0,task_03
0,-0.9900000000000002,50,0,0.0,,0.001696693280537147,MCTS,0,task_03
0,-0.9900000000000002,50,0,0.0,,0.000714856639096979,MCTS,0,task_03
1,0.5999999999999999,41,0,0.0,34.0,0.0007278129984425926,MCTS,0,task_03
0,-0.9900000000000002,50,0,0.0,,0.0007390808605123311,MCTS,0,task_03
0,-0.9900000000000002,50,0,0.0,,0.0007279233398730867,MCTS,0,task_03
0,-1.04,5,1,0.0,,0.0013555000041378662,Map-Conditioned Standard Diffusion,0,task_03
1,0.94,7,0,0.0,0.0,0.0012972319985107919,Map-Conditioned Standard Diffusion,0,task_03
0,-1.02,3,1,0.0,,0.0013110136690859993,Map-Conditioned Standard Diffusion,0,task_03
0,-1.02,3,1,0.0,,0.0012927916638242702,Map-Conditioned Standard Diffusion,0,task_03
0,-1.01,2,1,0.0,,0.0013094790047034621,Map-Conditioned Standard Diffusion,0,task_03
0,-1.04,5,1,0.0,,0.0013782583962893113,Map-Conditioned Failure-Memory Diffusion,0,task_03
1,0.94,7,0,0.25,0.0,0.0013680298538279853,Map-Conditioned Failure-Memory Diffusion,0,task_03
0,-1.02,3,1,0.5,,0.001499569329704779,Map-Conditioned Failure-Memory Diffusion,0,task_03
1,0.94,7,0,0.375,0.0,0.0014387441437325574,Map-Conditioned Failure-Memory Diffusion,0,task_03
1,0.94,7,0,0.375,0.0,0.0014129405733131404,Map-Conditioned Failure-Memory Diffusion,0,task_03
1,0.86,15,0,0.0,8.0,0.0019773918009983998,Map-Conditioned Improved Failure-Memory Diffusion,0,task_03
1,0.88,13,0,0.0,6.0,0.0019745448460945715,Map-Conditioned Improved Failure-Memory Diffusion,0,task_03
1,0.94,7,0,0.0,0.0,0.0019897975746841568,Map-Conditioned Improved Failure-Memory Diffusion,0,task_03
1,0.94,7,0,0.0,0.0,0.001976249716660407,Map-Conditioned Improved Failure-Memory Diffusion,0,task_03
1,0.92,9,0,0.0,2.0,0.0019587872229749337,Map-Conditioned Improved Failure-Memory Diffusion,0,task_03
0,-1.05,6,1,0.0,,9.515012303988138e-07,Random Policy,0,task_04
0,-1.01,2,1,0.0,,1.0829971870407462e-06,Random Policy,0,task_04
0,-1.0,1,1,0.0,,1.1669908417388797e-06,Random Policy,0,task_04
0,-1.0,1,1,0.0,,1.167005393654108e-06,Random Policy,0,task_04
0,-1.01,2,1,0.0,,9.380019037052989e-07,Random Policy,0,task_04
1,0.94,7,0,0.0,0.0,1.607113517820835e-07,Value Iteration,0,task_04
1,0.94,7,0,0.0,0.0,1.3100049857582364e-07,Value Iteration,0,task_04
1,0.94,7,0,0.0,0.0,8.943191330347742e-08,Value Iteration,0,task_04
