success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_D,Map,Seed
1,0.91,10,0,0.0,2.0,0.0015802291003637948,30,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.001558183299493976,30,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0015612812494509853,30,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0015603801266479422,30,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.001543145748655661,30,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.0017381583005771973,40,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.0017284000008658041,40,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.0017377748001308646,40,0.1,random_small,0
1,0.89,12,0,0.0,4.0,0.0017283993317202355,40,0.1,random_small,0
1,0.89,12,0,0.0,4.0,0.0017441215829118544,40,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0017309477498201886,40,0.1,random_small,0
1,0.89,12,0,0.0,4.0,0.001749659665923294,40,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0017212345001098583,40,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.00172951537570043,40,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.001728979200561298,40,0.1,random_small,0
0,-1.0,1,1,0.0,,0.0011364999954821542,5,0.1,easy,1
1,0.74,27,0,0.0,22.0,0.0010978441118991381,5,0.1,easy,1
0,-1.02,3,1,0.0,,0.001087708000947411,5,0.1,easy,1
0,-1.0,1,1,0.0,,0.001095125000574626,5,0.1,easy,1
1,0.96,5,0,0.0,0.0,0.0011016247983206995,5,0.1,easy,1
0,-1.0,1,1,0.0,,0.0010901249988819472,5,0.1,easy,1
0,-1.0,1,1,0.0,,0.0010973750031553209,5,0.1,easy,1
0,-1.01,2,1,0.0,,0.0010959999963233713,5,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0010906248561306192,5,0.1,easy,1
0,-1.0,1,1,0.0,,0.0010920419954345562,5,0.1,easy,1
1,0.92,9,0,0.0,4.0,0.0011702453331155186,10,0.1,easy,1
0,-1.01,2,1,0.0,,0.0011686249999911524,10,0.1,easy,1
1,0.92,9,0,0.0,4.0,0.0011669349995726305,10,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0011695238572428934,10,0.1,easy,1
1,0.92,9,0,0.0,4.0,0.0011654026651134093,10,0.1,easy,1
0,-1.0,1,1,0.0,,0.0011724580035661347,10,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0011652854289942688,10,0.1,easy,1
0,-1.04,5,1,0.0,,0.0011698918009642512,10,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0011663868593002138,10,0.1,easy,1
1,0.9,11,0,0.0,6.0,0.001170439455811654,10,0.1,easy,1
1,0.86,15,0,0.0,10.0,0.0016221083996545834,20,0.1,easy,1
1,0.82,19,0,0.0,14.0,0.0013964188949198853,20,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0014011307139298879,20,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0013878750001562626,20,0.1,easy,1
1,0.72,29,0,0.0,24.0,0.0013610690343896217,20,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0013626785720199613,20,0.1,easy,1
1,0.9,11,0,0.0,6.0,0.0013733143628500825,20,0.1,easy,1
1,0.96,5,0,0.0,0.0,0.0013698668000870385,20,0.1,easy,1
1,0.96,5,0,0.0,0.0,0.0013806834002025425,20,0.1,easy,1
1,0.7599999999999999,25,0,0.0,20.0,0.0013633666801615618,20,0.1,easy,1
1,0.9,11,0,0.0,6.0,0.0015392877275272358,30,0.1,easy,1
1,0.92,9,0,0.0,4.0,0.001537286999842359,30,0.1,easy,1
1,0.92,9,0,0.0,4.0,0.0015349259992945008,30,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0015499347136938013,30,0.1,easy,1
1,0.92,9,0,0.0,4.0,0.001639532334391131,30,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0015640891433577053,30,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.001571089426371535,30,0.1,easy,1
1,0.96,5,0,0.0,0.0,0.002533616399159655,30,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.001919833141853035,30,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0017737202859799644,30,0.1,easy,1
1,0.92,9,0,0.0,4.0,0.0017078657773607927,40,0.1,easy,1
1,0.88,13,0,0.0,8.0,0.0016984104619880852,40,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.0017494225716550968,40,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.001734684428291595,40,0.1,easy,1
1,0.92,9,0,0.0,4.0,0.0017239492226508446,40,0.1,easy,1
1,0.94,7,0,0.0,2.0,0.001747369000180957,40,0.1,easy,1
1,0.96,5,0,0.0,0.0,0.0017153582026367075,40,0.1,easy,1
1,0.92,9,0,0.0,4.0,0.0017295649991461283,40,0.1,easy,1
1,0.9,11,0,0.0,6.0,0.001724325636380606,40,0.1,easy,1
1,0.96,5,0,0.0,0.0,0.0017028169997502119,40,0.1,easy,1
0,-1.0,1,1,0.0,,0.0011495830040075816,5,0.1,obstacle,1
0,-1.01,2,1,0.0,,0.0011077495000790805,5,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0010954583340208046,5,0.1,obstacle,1
0,-1.0,1,1,0.0,,0.0010961669977405109,5,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0010964859999755088,5,0.1,obstacle,1
0,-1.0,1,1,0.0,,0.0011008330038748682,5,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0010914166656827244,5,0.1,obstacle,1
0,-1.01,2,1,0.0,,0.001093166498321807,5,0.1,obstacle,1
0,-1.01,2,1,0.0,,0.001097145999665372,5,0.1,obstacle,1
0,-1.0,1,1,0.0,,0.0011294159994577058,5,0.1,obstacle,1
0,-1.0,1,1,0.0,,0.0011955419977311976,10,0.1,obstacle,1
0,-1.01,2,1,0.0,,0.0011730000005627517,10,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0011707363300956786,10,0.1,obstacle,1
0,-1.04,5,1,0.0,,0.001204383400909137,10,0.1,obstacle,1
0,-1.03,4,1,0.0,,0.001214364750921959,10,0.1,obstacle,1
0,-1.04,5,1,0.0,,0.0011660415984806605,10,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0011533056652600255,10,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0011647499971635018,10,0.1,obstacle,1
0,-1.03,4,1,0.0,,0.0011522709992277669,10,0.1,obstacle,1
0,-1.01,2,1,0.0,,0.001196249999338761,10,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.001327055666479282,20,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0013202363334130496,20,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0013132920018203247,20,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0013195696665206924,20,0.1,obstacle,1
0,-1.04,5,1,0.0,,0.0013032586022745818,20,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0012899859987858993,20,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0013434583330915,20,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0013146670025889762,20,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0013076249985412385,20,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0013198333326727152,20,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0014848613330589917,30,0.1,obstacle,1
0,-1.04,5,1,0.0,,0.0014931167985196224,30,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.001490958330881161,30,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0015049029971123673,30,0.1,obstacle,1
0,-1.04,5,1,0.0,,0.001499775200500153,30,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.001476403000803354,30,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0014809023341513239,30,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0015011109984091793,30,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0014837356672311823,30,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0014884306656313129,30,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0016538609973698233,40,0.1,obstacle,1
1,0.92,9,0,0.0,0.0,0.001658898111296973,40,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0016519306664122269,40,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0016522223328744683,40,0.1,obstacle,1
0,-1.04,5,1,0.0,,0.0016615416010608897,40,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0016508193342209172,40,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0016450410015143764,40,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.001654111001698766,40,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0016536109978915192,40,0.1,obstacle,1
0,-1.04,5,1,0.0,,0.0016525250000995583,40,0.1,obstacle,1
0,-1.0,1,1,0.0,,0.001211082999361679,5,0.1,deceptive,1
0,-1.01,2,1,0.0,,0.0011639999975159299,5,0.1,deceptive,1
0,-1.02,3,1,0.0,,0.0011951530007839513,5,0.1,deceptive,1
0,-1.0,1,1,0.0,,0.0011344590020598844,5,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0011446562511991942,5,0.1,deceptive,1
0,-1.0,1,1,0.0,,0.0011774160011555068,5,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0011085627520515118,5,0.1,deceptive,1
0,-1.01,2,1,0.0,,0.0011003335021086968,5,0.1,deceptive,1
0,-1.01,2,1,0.0,,0.0011178960012330208,5,0.1,deceptive,1
0,-1.0,1,1,0.0,,0.0011439999943831936,5,0.1,deceptive,1
0,-1.0,1,1,0.0,,0.001251875000889413,10,0.1,deceptive,1
0,-1.01,2,1,0.0,,0.0011844585023936816,10,0.1,deceptive,1
0,-1.02,3,1,0.0,,0.0011826666692892711,10,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0011746039999707136,10,0.1,deceptive,1
0,-1.05,6,1,0.0,,0.001171194499571963,10,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.001180197999929078,10,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0011654582485789433,10,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0012189062526886119,10,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0011655207472358597,10,0.1,deceptive,1
0,-1.01,2,1,0.0,,0.0011683539996738546,10,0.1,deceptive,1
0,-1.05,6,1,0.0,,0.0013299998330088176,20,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.001325968998571625,20,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0013231247521616751,20,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.001343187497695908,20,0.1,deceptive,1
0,-1.09,10,1,0.0,,0.0013467833989125211,20,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0013602397484646644,20,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0013465417487168452,20,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0013407915030256845,20,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.001351260500086937,20,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0013552185009757522,20,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0015093332476681098,30,0.1,deceptive,1
0,-1.05,6,1,0.0,,0.0015043541667788911,30,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0015051874979690183,30,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0015138335002120584,30,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0015025832508399617,30,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0015020727496448671,30,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0015041667484183563,30,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0015028227517177584,30,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0015083542512002168,30,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0015080102512001758,30,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.001685333249042742,40,0.1,deceptive,1
0,-1.09,10,1,0.0,,0.0016691041993908585,40,0.1,deceptive,1
0,-1.03,4,1,0.0,,0.0016884374999790452,40,0.1,deceptive,1
