success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,lambda_F,Map,Seed
0,-1.0,1,1,1.0,,0.0011447080032667145,0.1,deceptive,0
0,-1.03,4,1,1.0,,0.0011431667498982279,0.1,deceptive,0
0,-1.07,8,1,0.7777777777777778,,0.0011373073739378015,0.1,deceptive,0
0,-1.0,1,1,1.0,,0.0011425410048104823,0.1,deceptive,0
0,-1.03,4,1,1.0,,0.0011348437510605436,0.1,deceptive,0
0,-1.03,4,1,1.0,,0.0011372184999345336,0.1,deceptive,0
0,-1.03,4,1,1.0,,0.0011452390008344082,0.1,deceptive,0
0,-1.03,4,1,1.0,,0.0011340417495375732,0.1,deceptive,0
0,-1.0,1,1,1.0,,0.0011510000040289015,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.001129010499425931,0.5,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.0011447920005593915,0.5,deceptive,0
0,-1.05,6,1,0.2857142857142857,,0.001135402665871273,0.5,deceptive,0
0,-1.04,5,1,0.6666666666666666,,0.001141508600267116,0.5,deceptive,0
0,-1.0,1,1,1.0,,0.0011405830009607598,0.5,deceptive,0
0,-1.03,4,1,1.0,,0.0011382810007489752,0.5,deceptive,0
0,-1.02,3,1,1.0,,0.001136014000318634,0.5,deceptive,0
0,-1.04,5,1,1.0,,0.0011353000008966774,0.5,deceptive,0
0,-1.03,4,1,1.0,,0.0011334372484270716,0.5,deceptive,0
0,-1.06,7,1,1.0,,0.0011348988576043797,0.5,deceptive,0
0,-1.03,4,1,0.0,,0.0011322710033709882,1.0,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.001140937500167638,1.0,deceptive,0
0,-1.05,6,1,0.2857142857142857,,0.001132860999253656,1.0,deceptive,0
0,-1.04,5,1,0.6666666666666666,,0.001134075000300072,1.0,deceptive,0
0,-1.03,4,1,1.0,,0.0011799895019066753,1.0,deceptive,0
0,-1.02,3,1,1.0,,0.0011601246636322078,1.0,deceptive,0
0,-1.04,5,1,1.0,,0.0011533997996593826,1.0,deceptive,0
0,-1.03,4,1,1.0,,0.0011472707501525292,1.0,deceptive,0
0,-1.05,6,1,1.0,,0.0011449238336354028,1.0,deceptive,0
0,-1.01,2,1,1.0,,0.0011559375016076956,1.0,deceptive,0
0,-1.03,4,1,0.0,,0.0011459377510618651,2.0,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.0011516875056258868,2.0,deceptive,0
0,-1.05,6,1,0.2857142857142857,,0.001133520832809154,2.0,deceptive,0
0,-1.04,5,1,0.6666666666666666,,0.0011287000030279159,2.0,deceptive,0
0,-1.03,4,1,0.6,,0.0011284062511549564,2.0,deceptive,0
0,-1.02,3,1,1.0,,0.001129527668429849,2.0,deceptive,0
0,-1.04,5,1,1.0,,0.0011338746015098877,2.0,deceptive,0
0,-1.03,4,1,1.0,,0.0011260629999014782,2.0,deceptive,0
0,-1.05,6,1,1.0,,0.0011246388336682382,2.0,deceptive,0
0,-1.01,2,1,1.0,,0.00113325000347686,2.0,deceptive,0
0,-1.03,4,1,0.0,,0.001132520750616095,5.0,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.0011389579958631657,5.0,deceptive,0
0,-1.05,6,1,0.2857142857142857,,0.0011343333329326317,5.0,deceptive,0
0,-1.04,5,1,1.0,,0.0011359249983797781,5.0,deceptive,0
0,-1.03,4,1,0.6,,0.001136520999352797,5.0,deceptive,0
0,-1.01,2,1,1.0,,0.0011359999989508651,5.0,deceptive,0
0,-1.04,5,1,0.6666666666666666,,0.0011313249997328967,5.0,deceptive,0
0,-1.01,2,1,1.0,,0.0011385210018488578,5.0,deceptive,0
0,-1.06,7,1,1.0,,0.0011302680005818339,5.0,deceptive,0
0,-1.06,7,1,1.0,,0.0011303508560688766,5.0,deceptive,0
0,-1.0,1,1,0.0,,0.001163792003353592,0.0,random_small,0
0,-1.04,5,1,0.16666666666666666,,0.0011365498008672147,0.0,random_small,0
0,-1.04,5,1,0.5,,0.001133316800405737,0.0,random_small,0
0,-1.06,7,1,1.0,,0.0011337618561810814,0.0,random_small,0
0,-1.06,7,1,1.0,,0.0011356847129978373,0.0,random_small,0
0,-1.0,1,1,1.0,,0.001144707995990757,0.0,random_small,0
0,-1.1199999999999999,13,1,0.42857142857142855,,0.0011387050001828286,0.0,random_small,0
0,-1.04,5,1,0.6666666666666666,,0.001141483199899085,0.0,random_small,0
0,-1.0,1,1,1.0,,0.0011399159993743524,0.0,random_small,0
1,0.9299999999999999,8,0,0.5555555555555556,0.0,0.0011467813756098622,0.0,random_small,0
0,-1.0,1,1,0.0,,0.0011384590034140274,0.1,random_small,0
0,-1.04,5,1,0.16666666666666666,,0.001132824800151866,0.1,random_small,0
1,0.9299999999999999,8,0,0.3333333333333333,0.0,0.0011405468758312054,0.1,random_small,0
0,-1.06,7,1,1.0,,0.0011380474274379335,0.1,random_small,0
0,-1.06,7,1,0.375,,0.0011402559996765507,0.1,random_small,0
0,-1.0,1,1,1.0,,0.0011410829974920489,0.1,random_small,0
0,-1.13,14,1,0.26666666666666666,,0.0011403066434598128,0.1,random_small,0
0,-1.04,5,1,0.6666666666666666,,0.0011332663998473436,0.1,random_small,0
0,-1.0,1,1,1.0,,0.0011377909977454692,0.1,random_small,0
1,0.9299999999999999,8,0,0.5555555555555556,0.0,0.0011377084993000608,0.1,random_small,0
0,-1.0,1,1,0.0,,0.001141417000326328,0.5,random_small,0
0,-1.04,5,1,0.16666666666666666,,0.001134133200685028,0.5,random_small,0
1,0.9299999999999999,8,0,0.3333333333333333,0.0,0.0011363282492311555,0.5,random_small,0
1,0.7899999999999999,22,0,0.5217391304347826,14.0,0.0011367935909550977,0.5,random_small,0
0,-1.06,7,1,0.375,,0.0011323095719230228,0.5,random_small,0
0,-1.0,1,1,1.0,,0.0011440419984865002,0.5,random_small,0
0,-1.13,14,1,0.26666666666666666,,0.0011409136428223324,0.5,random_small,0
0,-1.04,5,1,0.6666666666666666,,0.0011382750017219223,0.5,random_small,0
0,-1.0,1,1,1.0,,0.0011345419989083894,0.5,random_small,0
1,0.9299999999999999,8,0,0.5555555555555556,0.0,0.001140067749474838,0.5,random_small,0
0,-1.0,1,1,0.0,,0.0011282499981462024,1.0,random_small,0
0,-1.04,5,1,0.16666666666666666,,0.001132508399314247,1.0,random_small,0
1,0.9299999999999999,8,0,0.3333333333333333,0.0,0.00113386437533336,1.0,random_small,0
0,-1.08,9,1,0.5,,0.0011344029973972486,1.0,random_small,0
0,-1.09,10,1,0.5454545454545454,,0.0011382832009985578,1.0,random_small,0
