success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,lambda_D,Map,Seed
0,-1.0,1,1,0.0,,0.001131917000748217,5.0,easy,1
1,0.96,5,0,0.0,0.0,0.0011310666042845697,5.0,easy,1
0,-1.0,1,1,0.0,,0.00117666699225083,5.0,easy,1
0,-1.0,1,1,0.0,,0.001156415994046256,0.0,obstacle,1
0,-1.0,1,1,0.0,,0.0011222920002182946,0.0,obstacle,1
0,-1.0,1,1,0.0,,0.0011212499957764521,0.0,obstacle,1
0,-1.0,1,1,0.0,,0.0011216249986318871,0.0,obstacle,1
0,-1.0,1,1,0.0,,0.0011317919997964054,0.0,obstacle,1
0,-1.0,1,1,0.0,,0.001187041008961387,0.0,obstacle,1
0,-1.0,1,1,0.0,,0.0011485420109238476,0.0,obstacle,1
0,-1.0,1,1,0.0,,0.0011843329994007945,0.0,obstacle,1
0,-1.0,1,1,0.0,,0.0011850830051116645,0.0,obstacle,1
0,-1.0,1,1,0.0,,0.0011461660033091903,0.0,obstacle,1
0,-1.02,3,1,0.0,,0.0012087643311436598,0.1,obstacle,1
0,-1.04,5,1,0.0,,0.0011473084014141932,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0011207500016704823,0.1,obstacle,1
0,-1.0,1,1,0.0,,0.0011579999991226941,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0013643886680559565,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0011293193238088861,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0011712640019444127,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.001132180337056828,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0012387359990195061,0.1,obstacle,1
0,-1.0,1,1,0.0,,0.0011491249897517264,0.1,obstacle,1
0,-1.02,3,1,0.0,,0.0011567636635542537,0.5,obstacle,1
0,-1.04,5,1,0.0,,0.0011440917995059862,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.0012711943321240444,0.5,obstacle,1
0,-1.0,1,1,0.0,,0.001384999995934777,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.0011947500024689361,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.0011724999979681645,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.0012110693302626412,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.001203625002138627,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.0011966666691781331,0.5,obstacle,1
0,-1.0,1,1,0.0,,0.0011841250088764355,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.0011503613301708053,1.0,obstacle,1
0,-1.04,5,1,0.0,,0.0011530168005265296,1.0,obstacle,1
0,-1.02,3,1,0.0,,0.001224306004587561,1.0,obstacle,1
0,-1.0,1,1,0.0,,0.001141417000326328,1.0,obstacle,1
0,-1.02,3,1,0.0,,0.0011701246694428846,1.0,obstacle,1
0,-1.02,3,1,0.0,,0.0011202916648471728,1.0,obstacle,1
0,-1.02,3,1,0.0,,0.001100819664619242,1.0,obstacle,1
0,-1.02,3,1,0.0,,0.0011523890037400026,1.0,obstacle,1
0,-1.02,3,1,0.0,,0.0011638193342757102,1.0,obstacle,1
0,-1.0,1,1,0.0,,0.001150125011918135,1.0,obstacle,1
0,-1.02,3,1,0.0,,0.0011878470007407789,2.0,obstacle,1
0,-1.04,5,1,0.0,,0.0012071167962858453,2.0,obstacle,1
0,-1.02,3,1,0.0,,0.0011974863349072014,2.0,obstacle,1
0,-1.0,1,1,0.0,,0.001215292009874247,2.0,obstacle,1
0,-1.02,3,1,0.0,,0.0011599859960066776,2.0,obstacle,1
