success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_F,Map,Seed
1,0.85,16,0,0.5294117647058824,8.0,0.001287497259909287,5,0.5,random_small,0
0,-1.0,1,1,1.0,,0.0012894580140709877,5,0.5,random_small,0
1,0.87,14,0,0.4666666666666667,6.0,0.001370196363755635,5,0.5,random_small,0
1,0.91,10,0,0.5454545454545454,2.0,0.0012932082172483206,5,0.5,random_small,0
0,-1.0,1,1,1.0,,0.0014380828943103552,5,0.5,random_small,0
0,-1.0,1,1,1.0,,0.0014364579692482948,5,0.5,random_small,0
1,0.73,28,0,0.0,20.0,0.001377187536231109,10,0.5,random_small,0
0,-1.24,25,1,0.0,,0.0013962149061262608,10,0.5,random_small,0
0,-1.08,9,1,0.8,,0.0014000787761890227,10,0.5,random_small,0
0,-1.04,5,1,1.0,,0.0013665414415299892,10,0.5,random_small,0
0,-1.06,7,1,1.0,,0.0013350594256605422,10,0.5,random_small,0
0,-1.0,1,1,1.0,,0.0013308750931173563,10,0.5,random_small,0
1,0.89,12,0,0.7692307692307693,4.0,0.001346593916726609,10,0.5,random_small,0
1,0.9299999999999999,8,0,0.7777777777777778,0.0,0.001404896000167355,10,0.5,random_small,0
1,0.9299999999999999,8,0,0.5555555555555556,0.0,0.0013897290045861155,10,0.5,random_small,0
1,0.89,12,0,0.8461538461538461,4.0,0.0013656112520645063,10,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0015854531084187329,20,0.5,random_small,0
1,0.91,10,0,0.0,2.0,0.0016071792226284743,20,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.001588458486367017,20,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.00158523436402902,20,0.5,random_small,0
1,0.91,10,0,0.0,2.0,0.0015475501772016288,20,0.5,random_small,0
1,0.91,10,0,0.0,2.0,0.0015873708529397846,20,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.001573474146425724,20,0.5,random_small,0
1,0.87,14,0,0.0,6.0,0.0015741251409053802,20,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0015881455910857767,20,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0016091198776848614,20,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0017470522434450686,30,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0017591251234989613,30,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0017476978246122599,30,0.5,random_small,0
1,0.91,10,0,0.0,2.0,0.0017910540802404285,30,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0017616824770811945,30,0.5,random_small,0
1,0.89,12,0,0.0,4.0,0.0017597049785157044,30,0.5,random_small,0
